"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","ロゴはHTML文書のみです。空の場合は、初期設定が使用されます。<br />(jpeg, gif, png)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","あなたのデフォルトロゴがPDFとHTMLドキュメントに使われます<br />(jpeg, tiff, png) もしPDF画像が見づらければ、大きいファイルサイズの画像を使って下さい。"
"Please note that these settings apply to individual items in the cart, not to the entire cart.",個別のカートではなく、カート内の各アイテムに対してこれらの設定が適用されます。ご注意ください。
Actions,アクション
Message,メッセージ
"Use HTTPS to Get Feed",HTTPSを使ってフィードを得る
"""%1"" cannot contain more than %2 lines.","""%1"" は %2 ライン以上を含むことができません"
"""%1"" contains non-alphabetic characters.","%1""""はアルファベットでないキャラクターを含んでいる"
"""%1"" contains non-alphabetic or non-numeric characters.","%1""""はアルファベットでも数字でもない字を含んでいる"
"""%1"" contains non-numeric characters.","%1""""は数字でないキャラクターを含んでいる"
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1""クーポンコードが適用されませんでした。選択された商品にディスカウントを適用しないでください。"
"""%1"" does not fit the entered date format.","%1""""は入力された日付のフォーマットに合致しません"
"""%1"" exceeds the allowed file size.","%1""""は与えられたファイルのサイズを超えています"
"""%1"" height exceeds allowed value of %2 px.","%1""""高さは与えられた値を%2 px超えています"
"""%1"" invalid type entered.","%1""""不正なタイプが入力された"
"""%1"" is a required value.","%1""""は必要な値です。"
"""%1"" is already present in %2.","""%1""は既に%2にあります。"
"""%1"" is an empty string.","%1""""は空の文字列"
"""%1"" is longer than allowed.","""%1""は許可されているよりも長いです"
"""%1"" is not a valid URL.","%1""""は有効なURLではありません"
"""%1"" is not a valid date.","%1""は有効な日付ではありません"
"""%1"" is not a valid email address.","%1""""は正しいメールアドレスではない"
"""%1"" is not a valid file extension.","%1""は有効なファイル拡張子ではありません"
"""%1"" is not a valid file.","%1""""は有効なファイルではありません"
"""%1"" is not a valid hostname.","%1"""" は有効なホストネームではない"
"""%1"" is not a valid image format","""%1"" は無効な画像フォーマットです"
"""%1"" is not a valid image format.","""%1""は有効なイメージのフォーマットではありません"
"""%1"" length must be equal or greater than %2 characters.","%1""""の長さは%2 文字数と同じかそれ以上でなければなりません"
"""%1"" length must be equal or less than %2 characters.","%1""""の長さは%2文字数と同じかそれ以下でなければなりません"
"""%1"" uses too many characters.","%1"""" は文字数が多すぎです"
"""%1"" was copied to %2.","""%1""は%2にコピーされました。"
"""%1"" was moved to %2.","""%1""を%2に移動しました。"
"""%1"" width exceeds allowed value of %2 px.","%1""""幅は与えられた値を%2 px超えています"
"""Creditmemo Document Validation Error(s):\n"" .","""クレジットメモのドキュメント検証エラー:\n""。"
"""Invoice Document Validation Error(s):\n"" .","""請求書伝票の検証エラー:\n"" 。"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""New Relicアカウントが必要ですか？ <a href=""http://www.newrelic.com/magento"" target=""_blank"">ここをクリックしてください"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per Order"" 全体の注文での単一手数料を許可します。 ""Per Package"" は各パッケージに対して個別の手数料を許可します"
"""Remember Me"" Default Value","""ログイン状態を維持する"" の初期値"
"""Shipment Document Validation Error(s):\n"" .","""出荷文書検証エラー: \n""。"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Static ""は、残高が増加したときの有効期限を正確に定義します。""Dynamic ""には有効期限はありませんが、残高の有効期限がチェックされているときに計算されます。"
"""file"" parameter must be specified","""ファイル"" パラメーターは指定されていなければなりません"
"""file"" parameter must be specified and must not be empty","""ファイル"" パラメーターは指定されていなければならないし空であってもならない。"
#,#
"# of Items (and above)","件の商品 (とそれ以上)"
"# of Items vs. Destination",商品点数と配送先
"${ $.visible } out of ${ $.total } visible","${ $.visible } out of ${ $.total } visible"
%1,%1
"%1 %2","%1 %2"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 これらの条件のうち %5 が一致する:"
"%1 & applied","%1 & 適用済み"
"%1 (Default)","%1 (デフォルト)"
"%1 - %2","%1 - %2"
"%1 - Discounts and Coupons","%1 - ディスカウントとクーポン"
"%1 - Special Products","%1 - 特別商品"
"%1 / %2 rate:","%1 / %2 レート:"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"%1 = %2","%1 = %2"
"%1 An empty value is allowed as well.","%1 空の値も使うことが出来ます。"
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 ""%2""属性に基づくカート価格ルールは無効化されました。"
"%1 Item","%1 アイテム"
"%1 Item(s)","%1 アイテム"
"%1 Items","%1 アイテム"
"%1 RMA (s) have been closed.","%1 RMA 閉じられました"
"%1 RMA(s) cannot be closed","%1 RMA　閉じることができません"
